fsa,probable,vulnerable,is_most_recent,fever_chills_shakes,cough,shortness_of_breath,any_medical_conditions,travel_outside_canada,contact_with_illness,symptoms,conditions,needs
L4J,0.0380952380952381,0.19047619047619047,0.8095238095238095,0.01904761904761905,0.02857142857142857,0.02857142857142857,1.0,0.0,0.0380952380952381,,,
L4L,0.0,0.2037037037037037,0.8333333333333334,0.0,0.0,0.018518518518518517,1.0,0.0,0.0,,,
L4M,0.0,0.3269230769230769,0.7692307692307693,0.0,0.0,0.019230769230769232,1.0,0.0,0.0,,,
L4N,0.0,0.29591836734693877,0.826530612244898,0.01020408163265306,0.030612244897959183,0.0,1.0,0.0,0.0,,,
L4P,0.0,0.4,0.7,0.0,0.1,0.0,1.0,0.0,0.0,,,
L4S,0.0,0.3888888888888889,0.8888888888888888,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,,,
L4T,0.0,0.14285714285714285,0.6071428571428571,0.07142857142857142,0.0,0.0,1.0,0.0,0.0,,,
L4W,0.0,0.3103448275862069,0.8620689655172413,0.0,0.0,0.0,1.0,0.0,0.0,,,
L4X,0.05555555555555555,0.3333333333333333,0.8333333333333334,0.0,0.05555555555555555,0.0,1.0,0.0,0.05555555555555555,,,
L4Y,0.0,0.14285714285714285,0.9047619047619048,0.0,0.0,0.0,1.0,0.0,0.0,,,
L4Z,0.0,0.3684210526315789,0.8157894736842105,0.02631578947368421,0.05263157894736842,0.02631578947368421,1.0,0.0,0.0,,,
L5A,0.02127659574468085,0.23404255319148937,0.7446808510638298,0.02127659574468085,0.06382978723404255,0.10638297872340426,1.0,0.0,0.0,,,
L5B,0.043478260869565216,0.08695652173913043,0.7681159420289855,0.057971014492753624,0.014492753623188406,0.028985507246376812,1.0,0.014492753623188406,0.028985507246376812,,,
L5C,0.0,0.29545454545454547,0.8181818181818182,0.022727272727272728,0.06818181818181818,0.022727272727272728,1.0,0.0,0.0,,,
L5G,0.017857142857142856,0.30357142857142855,0.8035714285714286,0.017857142857142856,0.017857142857142856,0.017857142857142856,1.0,0.0,0.017857142857142856,,,
L5J,0.0,0.22033898305084745,0.864406779661017,0.0,0.03389830508474576,0.0,1.0,0.0,0.0,,,
L5L,0.0,0.35714285714285715,0.8095238095238095,0.023809523809523808,0.023809523809523808,0.0,1.0,0.0,0.0,,,
L5M,0.033783783783783786,0.27702702702702703,0.8243243243243243,0.033783783783783786,0.033783783783783786,0.033783783783783786,1.0,0.02702702702702703,0.033783783783783786,,,
